Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4587.05,7.18,12397.94,,,,,,6414.45,,7457.18,8062.99,10596.33,3292.95
Active Decode Throughput Per User (tokens/sec/user),73.28,1.91,193.72,,,,,,100.34,,116.59,126.69,165.57,49.82
Active Prefill Throughput (tokens/sec),25298.50,408.50,63330.27,,,,,,22872.68,,48031.28,48512.87,58677.31,14868.86
Active Prefill Throughput Per User (tokens/sec/user),622.65,408.16,4590.10,,,,,,519.59,,782.45,977.96,2005.50,367.01
Active Total Throughput (tokens/sec),13559.19,106.23,64594.16,,,,,,6229.38,,30789.25,46086.45,50076.62,13078.55
Credit-to-Start Latency (ms),5.20,0.84,21.38,1331.95,0.94,1.09,1.41,2.68,4.07,6.03,11.15,13.58,18.27,3.92
Decode Duration (ms),2743.35,1078.98,3408.65,702296.80,1831.88,2369.20,2381.09,2410.96,2758.43,3017.30,3274.97,3332.74,3398.22,362.43
E2E Output Token Throughput (tokens/sec/user),70.36,33.32,72.86,18012.05,56.33,68.02,69.20,69.95,70.89,71.70,72.36,72.61,72.76,3.61
Effective Concurrency,63.71,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,2.88
Effective Decode Concurrency,49.09,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,22.44
Effective Decode Throughput (tokens/sec),4448.50,0.00,12397.94,,,,,,6364.85,,7436.40,7979.74,10557.31,3336.52
Effective Decode Throughput Per User (tokens/sec/user),71.07,0.00,193.72,,,,,,99.60,,116.28,125.15,164.96,50.64
Effective Latency (CO-aware) (ms),3588.79,3516.76,3667.74,918730.34,3519.88,3522.99,3528.67,3549.49,3591.60,3630.27,3654.25,3658.89,3662.77,44.79
Effective Prefill Concurrency,14.62,0.00,64.00,,,,,,0.00,,57.00,59.00,64.00,22.23
Effective Prefill Throughput (tokens/sec),9102.99,0.00,63330.27,,,,,,0.00,,30136.13,46011.57,50076.62,15065.80
Effective Prefill Throughput Per User (tokens/sec/user),224.05,0.00,4590.10,,,,,,0.00,,664.05,762.87,1429.67,371.18
Effective Total Throughput (tokens/sec),13551.49,0.00,64594.16,,,,,,6229.38,,30789.25,46086.45,50076.62,13078.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,248.67,69.00,254.00,63659.00,137.75,245.00,248.00,250.00,251.00,253.00,254.00,254.00,254.00,17.79
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.31,0.00,9.30,78.98,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.65,4.28,1.03
HTTP Connection Overhead (ms),0.42,0.00,13.99,107.28,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.65,6.46,1.56
HTTP Connection Reused (ratio),0.83,0.00,1.00,212.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),58.57,16.56,59.97,14992.70,32.56,57.69,58.35,58.82,59.22,59.60,59.78,59.82,59.88,4.16
HTTP Data Sent (KB),2.25,1.89,2.50,574.74,1.94,2.04,2.11,2.18,2.26,2.32,2.37,2.40,2.45,0.11
HTTP DNS Lookup (ms),0.11,0.00,4.69,28.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.55
HTTP Duration (excl. conn) (ms),3583.41,3508.78,3663.85,917352.30,3513.52,3518.47,3524.45,3537.29,3589.45,3623.70,3647.57,3652.94,3658.89,44.90
HTTP Receiving (ms),2761.14,2355.30,3408.66,706851.88,2358.32,2369.47,2381.89,2411.05,2758.57,3017.32,3274.99,3332.78,3398.25,325.94
HTTP Sending (ms),0.71,0.16,10.55,181.06,0.20,0.28,0.30,0.37,0.44,0.50,1.02,2.21,4.74,1.08
HTTP Total Time (ms),3583.83,3508.78,3663.85,917459.58,3513.52,3518.47,3524.45,3537.29,3589.66,3623.70,3647.93,3652.94,3658.89,45.01
HTTP Waiting (TTFB) (ms),821.56,110.81,1255.14,210319.36,130.67,243.06,372.39,628.64,884.37,1138.83,1221.10,1244.21,1252.94,327.75
Input Sequence Length (tokens),512.00,512.00,512.00,131072.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),11.08,0.00,1275.23,702296.80,5.80,6.40,7.78,8.79,9.22,9.70,10.69,13.73,27.59,21.45
Inter Token Latency (ms),11.00,9.24,21.42,2815.79,9.29,9.34,9.42,9.57,11.00,12.07,12.99,13.23,13.74,1.47
OSL Mismatch Diff % (%),-1.87,-72.66,0.00,-479.30,-46.68,-3.91,-2.34,-1.56,-0.39,0.00,0.00,0.00,0.00,7.06
Output Sequence Length (tokens),251.21,70.00,256.00,64309.00,136.50,246.00,250.00,252.00,255.00,256.00,256.00,256.00,256.00,18.08
Output Token Count (tokens),251.21,70.00,256.00,64309.00,136.50,246.00,250.00,252.00,255.00,256.00,256.00,256.00,256.00,18.08
Output Token Throughput Per User (tokens/sec/user),92.37,46.68,108.26,23646.01,72.76,75.60,76.97,82.84,90.88,104.45,106.17,107.05,107.63,11.12
Prefill Throughput Per User (tokens/sec/user),839.93,407.83,4590.10,215023.24,408.22,410.45,418.91,449.30,578.60,813.77,1372.79,2112.64,3912.98,687.41
Request Latency (ms),3565.81,1846.96,3664.01,912846.81,2777.73,3517.79,3524.33,3536.77,3588.38,3623.91,3647.75,3653.12,3659.06,158.38
Time to First Output Token (ms),822.46,111.54,1255.43,210550.01,131.31,243.65,372.96,629.17,884.90,1139.55,1222.23,1247.40,1254.23,328.01
Time to First Token (ms),822.46,111.54,1255.43,210550.01,131.31,243.65,372.96,629.17,884.90,1139.55,1222.23,1247.40,1254.23,328.01
Time to Second Token (ms),200.03,7.73,532.99,51208.49,11.39,11.84,13.78,58.79,262.47,289.16,299.19,353.02,532.41,126.47
Tokens In Flight (tokens),38026.19,0.00,48810.94,,,,,,36736.23,,46335.29,47472.24,48323.73,5551.76

Metric,Value
Benchmark Duration (sec),14.39
Input Token Throughput (tokens/sec),9102.99
OSL Mismatch Count,10.00
Output Token Throughput (tokens/sec),4466.28
Request Count,256.00
Request Throughput (requests/sec),17.78
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),64309.00
Total Output Tokens (tokens),64309.00
Total Token Throughput (tokens/sec),13569.27
