Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),575.36,0.00,6203.07,,,,,,638.56,,663.05,673.55,982.72,259.52
Active Decode Throughput Per User (tokens/sec/user),144.99,0.00,1550.77,,,,,,159.64,,165.76,168.39,250.37,63.04
Active Prefill Throughput (tokens/sec),22593.25,4615.81,30069.86,,,,,,18953.65,,28992.96,29202.17,30069.86,5791.28
Active Prefill Throughput Per User (tokens/sec/user),6634.61,4615.81,11245.94,,,,,,6622.50,,7263.91,7517.46,11116.21,1057.64
Active Total Throughput (tokens/sec),4721.46,155.98,30069.86,,,,,,623.88,,18245.50,28829.97,29055.65,8925.49
Credit-to-Start Latency (ms),3.06,2.08,11.29,305.60,2.20,2.46,2.49,2.58,2.68,2.96,3.81,3.93,9.72,1.27
Decode Duration (ms),813.97,787.83,883.81,81397.08,790.85,791.74,792.02,792.75,794.99,816.74,872.88,876.37,881.56,34.01
E2E Output Token Throughput (tokens/sec/user),131.59,123.44,134.73,13158.97,124.45,126.90,129.61,131.31,132.11,132.52,132.98,133.37,133.99,1.88
Effective Concurrency,3.97,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.26
Effective Decode Concurrency,3.34,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.39
Effective Decode Throughput (tokens/sec),518.74,0.00,6203.07,,,,,,635.58,,661.28,672.31,909.35,300.15
Effective Decode Throughput Per User (tokens/sec/user),130.72,0.00,1550.77,,,,,,158.90,,165.32,168.08,228.30,73.81
Effective Latency (CO-aware) (ms),972.14,959.77,1015.29,97214.14,962.72,965.27,965.63,967.90,970.85,972.86,976.82,977.97,1015.11,9.22
Effective Prefill Concurrency,0.64,0.00,4.00,,,,,,0.00,,3.00,4.00,4.00,1.36
Effective Prefill Throughput (tokens/sec),4199.50,0.00,30069.86,,,,,,0.00,,18101.26,28829.97,29055.65,9136.66
Effective Prefill Throughput Per User (tokens/sec/user),1233.20,0.00,11245.94,,,,,,0.00,,6033.75,7237.93,7517.46,2620.87
Effective Total Throughput (tokens/sec),4718.24,0.00,30069.86,,,,,,623.88,,18245.50,28829.97,29055.65,8923.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.28,122.00,128.00,12728.00,122.00,125.00,126.00,127.00,128.00,128.00,128.00,128.00,128.00,1.15
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),30.14,28.92,30.38,3014.17,28.93,29.67,29.87,30.07,30.24,30.32,30.34,30.35,30.37,0.26
HTTP Data Sent (KB),4.34,3.88,4.72,433.51,3.92,4.06,4.11,4.21,4.33,4.46,4.55,4.61,4.67,0.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),968.89,949.46,1012.52,96888.99,954.99,962.31,962.41,964.70,968.01,969.99,973.89,975.56,1012.48,9.59
HTTP Receiving (ms),814.11,790.89,883.82,81411.47,790.91,791.89,792.05,792.84,794.99,816.74,873.59,876.38,881.56,34.07
HTTP Sending (ms),0.43,0.28,2.06,43.28,0.28,0.35,0.35,0.36,0.39,0.43,0.47,0.50,1.49,0.22
HTTP Total Time (ms),968.89,949.46,1012.52,96888.99,954.99,962.31,962.41,964.70,968.01,969.99,973.89,975.56,1012.48,9.59
HTTP Waiting (TTFB) (ms),154.34,90.53,221.18,15434.24,91.03,91.59,92.39,152.31,170.59,173.02,177.41,181.09,221.01,35.31
Input Sequence Length (tokens),1024.00,1024.00,1024.00,102400.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),6.45,0.63,88.65,81397.08,1.30,5.75,5.99,6.13,6.23,6.36,6.71,7.64,11.67,3.74
Inter Token Latency (ms),6.44,6.19,7.24,643.60,6.19,6.23,6.24,6.25,6.28,6.55,6.89,6.96,7.18,0.28
OSL Mismatch Diff % (%),-0.40,-5.47,0.78,-39.84,-3.92,-2.34,-1.56,0.00,0.00,0.00,0.00,0.00,0.78,0.95
Output Sequence Length (tokens),127.49,121.00,129.00,12749.00,122.98,125.00,126.00,128.00,128.00,128.00,128.00,128.00,129.00,1.22
Output Token Count (tokens),127.49,121.00,129.00,12749.00,122.98,125.00,126.00,128.00,128.00,128.00,128.00,128.00,129.00,1.22
Output Token Throughput Per User (tokens/sec/user),155.67,138.08,161.64,15566.54,139.22,143.69,145.06,152.70,159.33,159.95,160.33,160.41,161.43,6.55
Prefill Throughput Per User (tokens/sec/user),7089.78,4615.81,11245.94,708978.25,4617.55,5633.68,5753.57,5900.29,5981.31,6660.67,11029.16,11123.50,11182.33,2139.39
Request Latency (ms),968.95,950.06,1012.77,96894.77,955.56,961.30,962.57,964.09,968.12,970.16,974.08,975.73,1012.66,9.65
Time to First Output Token (ms),154.98,91.06,221.85,15497.69,91.57,92.06,92.84,154.03,171.20,173.55,177.98,181.76,221.76,35.33
Time to First Token (ms),154.98,91.06,221.85,15497.69,91.57,92.06,92.84,154.03,171.20,173.55,177.98,181.76,221.76,35.33
