Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),146.98,0.00,253.12,,,,,,153.90,,155.87,158.55,191.55,32.07
Active Decode Throughput Per User (tokens/sec/user),37.03,0.00,63.28,,,,,,38.48,,38.99,39.64,47.90,7.33
Active Prefill Throughput (tokens/sec),4394.83,1152.00,7162.14,,,,,,3705.50,,7046.12,7091.81,7162.14,1435.20
Active Prefill Throughput Per User (tokens/sec/user),1542.01,1152.00,3456.64,,,,,,1235.17,,1790.54,3340.20,3456.64,634.01
Active Total Throughput (tokens/sec),436.98,38.42,7162.14,,,,,,152.47,,153.05,3688.72,7000.27,1126.60
Credit-to-Start Latency (ms),3.82,1.50,7.22,76.42,1.51,1.55,2.95,3.19,3.51,3.74,7.02,7.04,7.18,1.50
Decode Duration (ms),6689.04,6604.04,6910.25,133780.79,6604.06,6604.12,6604.14,6615.27,6632.04,6690.75,6893.26,6901.49,6908.50,115.84
E2E Output Token Throughput (tokens/sec/user),36.33,36.26,36.55,726.65,36.26,36.26,36.26,36.29,36.30,36.36,36.40,36.41,36.52,0.07
Effective Concurrency,3.99,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.12
Effective Decode Concurrency,3.79,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.80
Effective Decode Throughput (tokens/sec),144.54,0.00,253.12,,,,,,153.88,,155.85,158.55,191.55,36.94
Effective Decode Throughput Per User (tokens/sec/user),36.42,0.00,63.28,,,,,,38.47,,38.98,39.64,47.90,8.67
Effective Latency (CO-aware) (ms),7049.89,7008.07,7064.20,140997.88,7013.56,7035.53,7039.43,7044.55,7054.93,7056.34,7063.91,7064.18,7064.20,12.86
Effective Prefill Concurrency,0.20,0.00,4.00,,,,,,0.00,,0.00,3.00,4.00,0.78
Effective Prefill Throughput (tokens/sec),292.33,0.00,7162.14,,,,,,0.00,,0.00,3651.82,7000.27,1155.98
Effective Prefill Throughput Per User (tokens/sec/user),102.57,0.00,3456.64,,,,,,0.00,,0.00,1217.27,1772.95,417.59
Effective Total Throughput (tokens/sec),436.87,0.00,7162.14,,,,,,152.47,,153.05,3688.72,7000.27,1126.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.07,0.00,5.64,21.41,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.34,5.58,2.14
HTTP Connection Overhead (ms),1.77,0.00,9.37,35.50,0.00,0.00,0.00,0.00,0.00,0.00,8.79,8.83,9.26,3.55
HTTP Connection Reused (ratio),0.80,0.00,1.00,16.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),60.25,60.12,60.42,1205.07,60.13,60.15,60.17,60.21,60.27,60.30,60.32,60.35,60.41,0.07
HTTP Data Sent (KB),2.29,2.02,2.40,45.71,2.03,2.10,2.19,2.27,2.29,2.35,2.37,2.38,2.40,0.09
HTTP DNS Lookup (ms),0.70,0.00,3.73,14.08,0.00,0.00,0.00,0.00,0.00,0.00,3.47,3.51,3.69,1.41
HTTP Duration (excl. conn) (ms),7045.86,7004.32,7060.43,140917.15,7009.66,7031.00,7032.47,7039.95,7051.35,7053.47,7060.19,7060.27,7060.40,13.40
HTTP Receiving (ms),6689.06,6604.15,6910.26,133781.17,6604.16,6604.21,6604.22,6615.26,6632.04,6690.76,6893.27,6901.50,6908.51,115.84
HTTP Sending (ms),1.56,0.17,6.61,31.19,0.17,0.17,0.18,0.37,0.41,0.53,6.25,6.29,6.54,2.38
HTTP Total Time (ms),7047.63,7012.86,7060.80,140952.65,7016.58,7031.43,7032.47,7039.95,7051.95,7060.09,7060.34,7060.45,7060.73,13.10
HTTP Waiting (TTFB) (ms),355.24,145.87,441.13,7104.79,146.40,148.51,149.07,351.14,417.04,422.93,440.62,440.79,441.06,118.40
Input Sequence Length (tokens),515.75,515.00,516.00,10315.00,515.00,515.00,515.00,515.75,516.00,516.00,516.00,516.00,516.00,0.43
Inter Chunk Latency (ms),26.23,15.79,299.42,133780.79,20.81,25.05,25.61,25.84,25.98,26.13,26.34,26.71,31.24,8.42
Inter Token Latency (ms),26.23,25.90,27.10,524.63,25.90,25.90,25.90,25.94,26.01,26.24,27.03,27.06,27.09,0.45
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,5120.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),38.13,36.90,38.61,762.67,36.91,36.95,36.99,38.12,38.45,38.55,38.61,38.61,38.61,0.65
Prefill Throughput Per User (tokens/sec/user),1757.14,1151.99,3456.65,35142.82,1152.08,1152.42,1152.90,1218.38,1234.30,1755.99,3390.58,3440.82,3453.48,942.16
Request Latency (ms),7046.07,7004.74,7060.62,140921.46,7010.04,7031.23,7032.68,7040.12,7051.78,7053.56,7060.37,7060.45,7060.59,13.37
Time to First Output Token (ms),357.03,148.99,447.92,7140.67,149.13,149.67,152.16,351.71,417.62,423.51,447.57,447.76,447.89,118.66
Time to First Token (ms),357.03,148.99,447.92,7140.67,149.13,149.67,152.16,351.71,417.62,423.51,447.57,447.76,447.89,118.66
Time to Second Token (ms),23.94,20.48,26.80,478.73,20.49,20.49,20.49,23.25,24.09,25.06,26.38,26.49,26.74,1.83
Tokens In Flight (tokens),2540.82,0.00,3082.00,,,,,,2542.00,,2970.00,3025.00,3068.00,317.03

Metric,Value
Benchmark Duration (sec),35.28
Input Token Throughput (tokens/sec),292.33
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),145.10
Request Count,20.00
Request Throughput (requests/sec),0.57
Total Input Sequence Length (tokens),10315.00
Total Output Sequence Length (tokens),5120.00
Total Output Tokens (tokens),5120.00
Total Token Throughput (tokens/sec),437.43
