Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),146.15,0.00,253.33,,,,,,153.40,,154.83,155.63,190.99,32.13
Active Decode Throughput Per User (tokens/sec/user),36.82,0.00,74.32,,,,,,38.35,,38.72,38.95,47.75,7.33
Active Prefill Throughput (tokens/sec),4304.77,1125.69,7135.23,,,,,,3627.04,,7014.42,7041.70,7089.09,1392.07
Active Prefill Throughput Per User (tokens/sec/user),1551.04,1125.69,3471.56,,,,,,1216.66,,3281.38,3392.56,3408.57,666.86
Active Total Throughput (tokens/sec),433.17,38.34,7135.23,,,,,,151.85,,152.12,3627.84,6970.30,1107.39
Credit-to-Start Latency (ms),3.66,1.58,5.74,366.46,2.05,3.36,3.45,3.54,3.63,3.72,3.89,4.93,5.71,0.57
Decode Duration (ms),6715.13,6642.31,6925.92,671513.43,6642.32,6642.70,6644.54,6645.98,6647.85,6714.24,6919.96,6923.62,6924.95,117.59
E2E Output Token Throughput (tokens/sec/user),36.16,35.36,36.33,3615.92,35.75,35.90,36.02,36.18,36.20,36.22,36.24,36.24,36.29,0.13
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.11
Effective Decode Concurrency,3.79,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.79
Effective Decode Throughput (tokens/sec),143.89,0.00,253.33,,,,,,153.38,,154.81,155.60,190.92,36.61
Effective Decode Throughput Per User (tokens/sec/user),36.26,0.00,74.32,,,,,,38.35,,38.71,38.94,47.75,8.57
Effective Latency (CO-aware) (ms),7075.45,7056.25,7109.52,707544.92,7066.25,7067.37,7068.05,7071.29,7074.22,7078.61,7080.51,7081.25,7109.12,7.45
Effective Prefill Concurrency,0.20,0.00,4.00,,,,,,0.00,,0.00,3.00,4.00,0.78
Effective Prefill Throughput (tokens/sec),289.25,0.00,7135.23,,,,,,0.00,,0.00,3591.01,6970.30,1136.52
Effective Prefill Throughput Per User (tokens/sec/user),104.22,0.00,3471.56,,,,,,0.00,,0.00,1205.01,1763.84,425.05
Effective Total Throughput (tokens/sec),433.14,0.00,7135.23,,,,,,151.85,,152.12,3627.84,6970.30,1107.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.80,251.00,256.00,25580.00,252.98,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,0.68
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),60.20,59.18,60.39,6019.82,59.48,59.94,60.06,60.17,60.24,60.29,60.33,60.35,60.37,0.17
HTTP Data Sent (KB),2.27,1.96,2.49,226.80,1.98,2.09,2.15,2.21,2.27,2.35,2.39,2.42,2.48,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7071.60,7054.02,7107.05,707159.90,7062.36,7063.50,7064.08,7067.43,7070.39,7074.81,7076.84,7077.47,7106.76,7.68
HTTP Receiving (ms),6715.14,6642.32,6925.93,671514.20,6642.33,6642.71,6644.54,6645.99,6647.87,6714.25,6919.97,6923.63,6924.96,117.59
HTTP Sending (ms),0.39,0.16,0.92,39.48,0.35,0.36,0.36,0.37,0.38,0.39,0.40,0.46,0.76,0.08
HTTP Total Time (ms),7071.60,7054.02,7107.05,707159.90,7062.36,7063.50,7064.08,7067.43,7070.39,7074.81,7076.84,7077.47,7106.76,7.68
HTTP Waiting (TTFB) (ms),356.06,146.44,454.26,35606.23,149.39,149.83,150.34,349.77,421.35,424.66,428.58,430.61,454.04,118.54
