Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1754.70,0.00,8348.99,,,,,,1953.22,,2306.01,2373.89,4044.81,738.97
Active Decode Throughput Per User (tokens/sec/user),124.08,0.00,1070.15,,,,,,129.07,,156.07,161.37,260.87,41.86
Active Prefill Throughput (tokens/sec),25525.23,1515.08,43761.88,,,,,,29179.52,,37881.86,43524.99,43761.88,10858.82
Active Prefill Throughput Per User (tokens/sec/user),2267.26,1515.08,10667.46,,,,,,2090.11,,2720.31,4460.10,7193.03,1094.54
Active Total Throughput (tokens/sec),3587.83,58.52,43761.88,,,,,,1948.85,,2140.99,16566.13,37785.10,6905.01
Credit-to-Start Latency (ms),10.27,2.62,23.69,1027.18,2.78,3.22,3.33,9.23,10.03,11.87,16.28,17.84,22.94,4.42
Decode Duration (ms),7156.30,2219.32,7860.48,715630.25,2437.73,4158.58,6480.21,7386.44,7428.48,7629.79,7696.77,7849.51,7857.64,1136.54
E2E Output Token Throughput (tokens/sec/user),123.73,59.28,153.75,12372.53,64.07,102.66,116.88,126.12,126.84,127.31,127.69,127.86,153.43,14.53
Effective Concurrency,14.50,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.97
Effective Decode Concurrency,13.64,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.93
Effective Decode Throughput (tokens/sec),1718.87,0.00,8348.99,,,,,,1942.37,,2304.04,2371.66,4023.21,772.34
Effective Decode Throughput Per User (tokens/sec/user),121.55,0.00,1070.15,,,,,,128.20,,155.84,161.17,258.56,44.99
Effective Latency (CO-aware) (ms),7969.40,6657.60,8059.67,796940.25,6657.61,8001.62,8003.43,8012.20,8022.16,8031.11,8048.84,8055.26,8055.98,267.81
Effective Prefill Concurrency,0.86,0.00,16.00,,,,,,0.00,,0.00,8.00,16.00,3.25
Effective Prefill Throughput (tokens/sec),1865.39,0.00,43761.88,,,,,,0.00,,0.00,13720.64,37785.10,7263.06
Effective Prefill Throughput Per User (tokens/sec/user),165.69,0.00,10667.46,,,,,,0.00,,0.00,1795.51,2461.97,660.13
Effective Total Throughput (tokens/sec),3584.26,0.00,43761.88,,,,,,1948.85,,2140.99,14409.74,37785.10,6902.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,942.49,285.00,1023.00,94249.00,347.37,500.30,588.70,1007.00,1013.00,1017.00,1019.00,1020.05,1022.01,177.69
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.79,19.13,0.00,0.00,0.00,0.00,0.00,0.00,1.42,1.65,1.79,0.52
HTTP Connection Overhead (ms),0.19,0.00,1.79,19.13,0.00,0.00,0.00,0.00,0.00,0.00,1.42,1.65,1.79,0.52
HTTP Connection Reused (ratio),0.88,0.00,1.00,88.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),221.04,67.24,239.60,22104.12,81.80,117.63,138.19,236.17,237.79,238.53,238.96,239.09,239.51,41.64
HTTP Data Sent (KB),4.34,3.75,4.72,433.87,4.03,4.12,4.14,4.23,4.33,4.44,4.57,4.59,4.69,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7958.88,6647.81,8056.12,795887.74,6647.82,7983.23,7992.62,7999.55,8008.77,8020.51,8045.62,8051.77,8052.24,267.75
HTTP Receiving (ms),7488.45,6480.17,7860.49,748845.39,6480.19,7380.88,7381.18,7389.33,7428.79,7629.81,7696.78,7849.53,7857.64,247.71
HTTP Sending (ms),0.80,0.34,2.58,79.66,0.36,0.36,0.37,0.39,0.43,0.88,2.19,2.35,2.58,0.67
HTTP Total Time (ms),7959.07,6647.81,8057.54,795906.87,6647.82,7983.23,7992.62,7999.55,8008.77,8020.51,8047.23,8053.48,8054.02,267.82
HTTP Waiting (TTFB) (ms),469.63,95.43,673.51,46962.69,141.62,156.04,203.21,390.60,414.16,613.02,628.41,668.42,668.76,158.79
Input Sequence Length (tokens),1024.00,1024.00,1024.00,102400.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),7.60,0.78,3645.94,715630.25,3.14,5.99,6.52,6.94,7.21,7.46,7.73,10.54,14.41,20.31
Inter Token Latency (ms),7.73,6.34,15.49,773.28,6.36,7.07,7.24,7.27,7.47,7.54,7.76,9.31,14.43,1.47
OSL Mismatch Diff % (%),-7.76,-71.97,-0.10,-775.68,-65.79,-51.15,-42.47,-1.46,-0.73,-0.39,-0.29,-0.20,-0.10,17.38
Output Sequence Length (tokens),944.57,287.00,1023.00,94457.00,350.36,500.25,589.10,1009.00,1016.50,1020.00,1021.00,1022.00,1023.00,177.96
Output Token Count (tokens),944.57,287.00,1023.00,94457.00,350.36,500.25,589.10,1009.00,1016.50,1020.00,1021.00,1022.00,1023.00,177.96
Output Token Throughput Per User (tokens/sec/user),132.12,64.55,157.71,13211.80,69.31,107.71,128.82,132.62,133.93,137.56,138.18,141.52,157.25,15.05
Prefill Throughput Per User (tokens/sec/user),2649.83,1515.08,10667.45,264983.30,1524.68,1526.00,1627.71,1668.75,2469.01,2616.15,5036.83,6535.27,7211.57,1610.29
Request Latency (ms),7626.99,2613.40,8056.38,762699.18,3062.48,4630.42,6650.93,7993.95,8007.12,8018.03,8045.37,8051.99,8052.50,1128.22
Time to First Output Token (ms),470.69,95.99,675.87,47068.93,142.22,156.69,203.88,391.42,414.74,613.63,629.11,671.03,671.62,159.05
Time to First Token (ms),470.69,95.99,675.87,47068.93,142.22,156.69,203.88,391.42,414.74,613.63,629.11,671.03,671.62,159.05
Time to Second Token (ms),121.04,1.58,274.85,12103.57,1.61,3.49,3.65,4.01,35.56,241.05,265.79,274.71,274.84,117.63
