Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),162.61,0.00,7328.78,,,,,,165.04,,169.48,171.89,188.52,66.12
Active Decode Throughput Per User (tokens/sec/user),162.61,0.00,7328.78,,,,,,165.04,,169.48,171.89,188.52,66.12
Active Prefill Throughput (tokens/sec),8995.49,6523.03,9561.55,,,,,,9192.32,,9433.52,9514.11,9538.84,579.50
Active Prefill Throughput Per User (tokens/sec/user),8995.49,6523.03,9561.55,,,,,,9192.32,,9433.52,9514.11,9538.84,579.50
Active Total Throughput (tokens/sec),477.68,87.81,9561.55,,,,,,164.42,,165.92,166.50,9347.59,1641.87
Credit-to-Start Latency (ms),3.58,2.58,5.41,357.51,2.59,3.35,3.44,3.49,3.55,3.61,3.68,3.73,5.34,0.33
Decode Duration (ms),1526.34,836.89,1551.01,152634.00,1206.78,1531.50,1535.36,1537.16,1538.15,1540.06,1540.87,1541.20,1546.82,77.84
E2E Output Token Throughput (tokens/sec/user),158.65,146.31,162.05,15864.57,147.14,153.77,156.63,158.08,159.17,160.45,160.70,160.86,160.90,2.54
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),156.06,0.00,7328.78,,,,,,164.90,,169.34,171.72,186.00,72.24
Effective Decode Throughput Per User (tokens/sec/user),156.06,0.00,7328.78,,,,,,164.90,,169.34,171.72,186.00,72.24
Effective Latency (CO-aware) (ms),1599.24,1593.75,1616.43,159923.98,1594.27,1594.78,1595.39,1596.59,1598.54,1600.17,1603.20,1608.90,1612.66,4.21
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),319.33,0.00,9561.55,,,,,,0.00,,0.00,0.00,9347.59,1668.09
Effective Prefill Throughput Per User (tokens/sec/user),319.33,0.00,9561.55,,,,,,0.00,,0.00,0.00,9347.59,1668.09
Effective Total Throughput (tokens/sec),475.40,0.00,9561.55,,,,,,164.42,,165.92,166.50,9347.59,1638.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,251.56,139.00,256.00,25156.00,202.36,238.95,250.90,253.00,254.00,255.00,256.00,256.00,256.00,13.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.25,32.69,60.39,5924.67,47.68,56.27,59.14,59.57,59.82,60.14,60.28,60.33,60.37,3.07
HTTP Data Sent (KB),2.24,1.99,2.48,223.77,2.01,2.07,2.10,2.17,2.25,2.30,2.36,2.40,2.47,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1595.50,1590.67,1613.67,159549.51,1590.87,1591.14,1591.72,1592.84,1594.83,1596.25,1599.13,1605.25,1608.85,4.20
HTTP Receiving (ms),1538.75,1531.55,1551.02,153875.37,1535.05,1536.34,1536.76,1537.40,1538.26,1540.06,1540.88,1541.21,1546.83,2.34
HTTP Sending (ms),0.37,0.34,0.75,36.52,0.34,0.34,0.34,0.35,0.36,0.36,0.38,0.39,0.72,0.05
HTTP Total Time (ms),1595.50,1590.67,1613.67,159549.51,1590.87,1591.14,1591.72,1592.84,1594.83,1596.25,1599.13,1605.25,1608.85,4.20
HTTP Waiting (TTFB) (ms),56.38,53.02,77.89,5637.62,53.10,53.29,53.74,54.13,55.02,56.90,60.92,65.71,68.20,3.96
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.09,0.15,24.15,152634.00,0.82,5.73,5.86,5.97,6.04,6.12,6.24,6.41,11.68,1.35
Inter Token Latency (ms),6.10,5.98,6.58,610.18,6.01,6.03,6.03,6.04,6.08,6.13,6.18,6.23,6.57,0.10
OSL Mismatch Diff % (%),-1.87,-46.88,0.78,-186.72,-21.74,-7.44,-2.77,-1.56,-0.78,0.00,0.00,0.00,0.01,5.25
Output Sequence Length (tokens),251.22,136.00,258.00,25122.00,200.35,236.95,248.90,252.00,254.00,256.00,256.00,256.00,256.02,13.45
Output Token Count (tokens),251.22,136.00,258.00,25122.00,200.35,236.95,248.90,252.00,254.00,256.00,256.00,256.00,256.02,13.45
Output Token Throughput Per User (tokens/sec/user),163.93,151.89,167.20,16392.55,152.21,160.56,161.94,163.25,164.41,165.60,165.89,165.93,166.51,2.50
Prefill Throughput Per User (tokens/sec/user),9032.82,6523.01,9561.58,903282.32,7452.81,7727.38,8333.74,8916.17,9208.29,9367.75,9433.75,9514.18,9539.09,538.67
Request Latency (ms),1583.26,891.41,1613.85,158325.74,1268.12,1591.02,1591.40,1592.63,1594.64,1596.09,1599.29,1605.10,1609.01,77.95
Time to First Output Token (ms),56.92,53.55,78.49,5691.74,53.67,53.81,54.27,54.66,55.60,57.42,61.44,66.26,68.71,3.97
Time to First Token (ms),56.92,53.55,78.49,5691.74,53.67,53.81,54.27,54.66,55.60,57.42,61.44,66.26,68.71,3.97
Time to Second Token (ms),3.63,0.52,8.54,363.31,0.79,1.85,2.67,3.42,3.75,3.86,4.02,4.31,7.73,1.05
Tokens In Flight (tokens),631.31,0.00,770.00,,,,,,634.00,,738.00,751.05,763.00,86.64

Metric,Value
Benchmark Duration (sec),160.33
Input Token Throughput (tokens/sec),319.33
OSL Mismatch Count,7.00
Output Token Throughput (tokens/sec),156.69
Request Count,100.00
Request Throughput (requests/sec),0.62
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),25122.00
Total Output Tokens (tokens),25122.00
Total Token Throughput (tokens/sec),476.02
