Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4174.81,4.90,11115.23,,,,,,4642.20,,5893.82,6253.01,8411.96,2000.83
Active Decode Throughput Per User (tokens/sec/user),65.80,2.88,341.12,,,,,,72.56,,92.10,97.78,131.69,30.41
Active Prefill Throughput (tokens/sec),26371.11,419.80,77681.67,,,,,,22320.01,,60330.34,65059.60,72373.70,19581.98
Active Prefill Throughput Per User (tokens/sec/user),728.67,419.18,7044.26,,,,,,581.50,,1013.96,1213.78,3882.13,589.36
Active Total Throughput (tokens/sec),8584.47,80.07,77681.67,,,,,,4599.41,,19092.46,34185.16,64893.30,11641.45
Credit-to-Start Latency (ms),17.31,0.82,54.99,4430.88,0.96,1.44,2.03,6.09,12.79,24.44,39.06,49.38,53.48,14.37
Decode Duration (ms),13018.25,2485.16,14622.77,3332673.12,4124.80,11933.29,12374.67,12662.26,13270.81,13953.06,14248.62,14389.86,14560.33,1774.90
E2E Output Token Throughput (tokens/sec/user),66.44,12.25,69.77,17008.55,28.91,49.45,62.02,68.35,68.87,69.20,69.38,69.53,69.74,7.99
Effective Concurrency,63.78,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,2.64
Effective Decode Concurrency,57.88,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,15.46
Effective Decode Throughput (tokens/sec),4148.58,0.00,11115.23,,,,,,4638.09,,5891.22,6251.90,8411.96,2021.63
Effective Decode Throughput Per User (tokens/sec/user),65.39,0.00,341.12,,,,,,72.50,,92.07,97.70,131.69,30.76
Effective Latency (CO-aware) (ms),14753.44,14657.27,14857.89,3776880.00,14671.82,14684.49,14696.94,14729.34,14759.29,14781.00,14798.28,14810.54,14828.78,37.46
Effective Prefill Concurrency,5.91,0.00,64.00,,,,,,0.00,,30.00,48.00,62.00,15.11
Effective Prefill Throughput (tokens/sec),4432.29,0.00,77681.67,,,,,,0.00,,16822.11,33088.10,64893.30,12715.65
Effective Prefill Throughput Per User (tokens/sec/user),122.47,0.00,7044.26,,,,,,0.00,,532.61,735.68,1129.66,364.17
Effective Total Throughput (tokens/sec),8580.87,0.00,77681.67,,,,,,4599.41,,19092.46,34185.16,64893.30,11640.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,960.70,169.00,1023.00,245940.00,243.80,518.75,876.50,1010.00,1016.00,1019.00,1021.00,1021.00,1023.00,163.88
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.34,0.00,8.84,86.51,0.00,0.00,0.00,0.00,0.00,0.00,0.79,1.66,5.06,1.10
