Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1926.98,0.00,7903.30,,,,,,2368.00,,2568.08,2654.55,4730.88,990.80
Active Decode Throughput Per User (tokens/sec/user),135.46,0.00,1001.70,,,,,,150.83,,163.12,169.20,300.60,56.57
Active Prefill Throughput (tokens/sec),20862.68,1237.61,26130.33,,,,,,21620.27,,25479.84,26130.33,26130.33,4456.28
Active Prefill Throughput Per User (tokens/sec/user),1645.28,1236.28,5323.55,,,,,,1441.35,,1633.15,4333.10,4580.71,759.65
Active Total Throughput (tokens/sec),5442.18,159.79,26130.33,,,,,,2391.49,,21045.22,22947.92,25479.84,7404.58
Credit-to-Start Latency (ms),3.98,2.34,6.11,397.99,2.37,2.97,3.10,3.40,3.76,4.09,5.70,5.85,6.03,0.93
Decode Duration (ms),1676.86,1018.57,1897.29,167686.12,1450.34,1602.14,1665.25,1665.54,1671.23,1673.37,1708.48,1878.90,1893.96,92.26
E2E Output Token Throughput (tokens/sec/user),124.79,111.92,150.62,12479.10,119.92,120.32,120.85,122.78,124.53,125.53,126.10,126.40,149.27,5.21
Effective Concurrency,14.47,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.01
Effective Decode Concurrency,12.01,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,6.37
Effective Decode Throughput (tokens/sec),1788.78,0.00,7903.30,,,,,,2348.96,,2560.50,2645.81,4662.21,1076.33
Effective Decode Throughput Per User (tokens/sec/user),125.74,0.00,1001.70,,,,,,149.72,,162.63,168.46,296.09,64.75
Effective Latency (CO-aware) (ms),2035.05,1698.51,2089.05,203505.06,1698.75,2030.70,2033.08,2036.10,2042.79,2053.66,2087.63,2088.41,2088.94,70.68
Effective Prefill Concurrency,2.46,0.00,16.00,,,,,,0.00,,15.00,16.00,16.00,5.56
Effective Prefill Throughput (tokens/sec),3647.51,0.00,26130.33,,,,,,0.00,,20911.45,22814.28,25479.84,8140.30
Effective Prefill Throughput Per User (tokens/sec/user),287.65,0.00,5323.55,,,,,,0.00,,1412.54,1520.95,3859.57,701.01
Effective Total Throughput (tokens/sec),5436.29,0.00,26130.33,,,,,,2391.49,,21045.22,22947.92,25479.84,7402.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,250.29,155.00,255.00,25029.00,223.31,245.00,246.00,250.00,252.00,254.00,254.10,255.00,255.00,10.36
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),58.94,36.62,60.16,5894.05,52.64,57.67,58.06,58.86,59.41,59.74,59.90,60.04,60.15,2.43
HTTP Data Sent (KB),2.25,1.90,2.45,225.16,2.00,2.10,2.12,2.19,2.26,2.31,2.38,2.42,2.44,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2030.87,1694.86,2085.81,203086.99,1694.86,2025.05,2027.69,2032.24,2038.89,2049.79,2084.76,2085.05,2085.55,70.70
HTTP Receiving (ms),1685.81,1576.81,1897.29,168580.52,1577.04,1665.25,1665.32,1665.58,1671.23,1673.38,1708.49,1878.91,1893.97,59.86
HTTP Sending (ms),0.45,0.35,0.71,44.97,0.35,0.36,0.37,0.38,0.44,0.48,0.59,0.66,0.71,0.09
HTTP Total Time (ms),2030.87,1694.86,2085.81,203086.99,1694.86,2025.05,2027.69,2032.24,2038.89,2049.79,2084.76,2085.05,2085.55,70.70
HTTP Waiting (TTFB) (ms),344.62,95.64,413.83,34461.51,117.23,142.70,193.23,351.47,366.37,379.18,412.79,412.95,413.55,75.33
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),6.73,0.93,239.02,167686.12,2.96,4.53,6.04,6.33,6.55,6.78,7.03,7.92,13.16,4.09
Inter Token Latency (ms),6.68,6.26,7.57,667.88,6.29,6.53,6.53,6.55,6.61,6.70,6.85,7.48,7.54,0.25
OSL Mismatch Diff % (%),-1.53,-39.45,0.00,-152.73,-12.38,-4.69,-2.77,-1.56,-0.78,0.00,0.00,0.00,0.00,4.16
Output Sequence Length (tokens),252.09,155.00,256.00,25209.00,224.30,244.00,248.90,252.00,254.00,256.00,256.00,256.00,256.00,10.64
Output Token Count (tokens),252.09,155.00,256.00,25209.00,224.30,244.00,248.90,252.00,254.00,256.00,256.00,256.00,256.00,10.64
Output Token Throughput Per User (tokens/sec/user),149.92,132.03,159.79,14992.21,132.54,133.76,145.91,149.27,151.28,152.58,153.11,153.18,159.04,5.20
Prefill Throughput Per User (tokens/sec/user),1647.15,1234.31,5323.55,164714.63,1235.34,1237.18,1238.42,1347.94,1394.80,1453.96,2638.77,3574.68,4348.67,782.97
Request Latency (ms),2022.13,1384.95,2086.07,202213.30,1685.16,1819.53,2025.27,2031.74,2039.04,2049.99,2084.96,2085.31,2085.79,97.81
Time to First Output Token (ms),345.27,96.18,414.81,34527.18,117.79,143.27,194.03,352.14,367.08,379.84,413.43,413.84,414.46,75.37
Time to First Token (ms),345.27,96.18,414.81,34527.18,117.79,143.27,194.03,352.14,367.08,379.84,413.43,413.84,414.46,75.37
Time to Second Token (ms),23.87,3.49,239.02,2386.75,3.50,3.75,3.79,3.85,3.99,4.06,38.52,220.89,237.24,56.66
Tokens In Flight (tokens),8927.17,0.00,12245.96,,,,,,9459.45,,11670.85,11933.17,12158.74,2749.47

Metric,Value
Benchmark Duration (sec),14.02
Input Token Throughput (tokens/sec),3647.51
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),1795.90
Request Count,100.00
Request Throughput (requests/sec),7.12
Total Input Sequence Length (tokens),51200.00
