Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1400.34,0.00,5830.59,,,,,,2177.26,,2424.93,2495.63,4311.91,1144.94
Active Decode Throughput Per User (tokens/sec/user),99.53,0.00,951.64,,,,,,141.47,,157.24,162.60,277.90,72.37
Active Prefill Throughput (tokens/sec),24937.44,1580.81,38161.75,,,,,,30761.50,,37609.56,37786.24,38161.75,10222.30
Active Prefill Throughput Per User (tokens/sec/user),2215.62,1580.81,9353.51,,,,,,2056.66,,2385.11,5565.66,6512.62,1063.70
Active Total Throughput (tokens/sec),11441.21,159.95,38161.75,,,,,,2054.86,,31644.90,36963.41,38161.75,13135.27
Credit-to-Start Latency (ms),2.93,2.24,4.08,292.85,2.30,2.48,2.56,2.72,2.90,2.98,3.21,3.94,4.05,0.37
Decode Duration (ms),998.64,793.90,1347.87,99864.41,793.91,868.43,868.76,872.18,880.28,1112.32,1119.52,1333.05,1344.60,146.17
E2E Output Token Throughput (tokens/sec/user),86.41,82.00,130.89,8640.86,82.24,82.94,83.26,84.20,84.90,85.26,85.35,85.43,130.89,9.10
Effective Concurrency,14.77,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,3.61
Effective Decode Concurrency,9.92,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,6.66
Effective Decode Throughput (tokens/sec),1256.77,0.00,5830.59,,,,,,1324.72,,2414.63,2482.00,4171.31,1164.87
Effective Decode Throughput Per User (tokens/sec/user),89.33,0.00,951.64,,,,,,138.29,,156.11,161.91,265.35,74.91
Effective Latency (CO-aware) (ms),1489.27,980.50,1531.16,148926.84,980.51,1501.19,1502.46,1503.87,1510.18,1510.65,1523.18,1529.92,1530.33,104.03
Effective Prefill Concurrency,4.85,0.00,16.00,,,,,,0.00,,15.00,16.00,16.00,6.42
Effective Prefill Throughput (tokens/sec),10174.17,0.00,38161.75,,,,,,0.00,,31550.45,36963.41,38161.75,13886.57
Effective Prefill Throughput Per User (tokens/sec/user),903.95,0.00,9353.51,,,,,,0.00,,2283.45,2361.64,6512.62,1283.47
Effective Total Throughput (tokens/sec),11430.94,0.00,38161.75,,,,,,2054.86,,31644.90,36963.41,38161.75,13133.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.08,124.00,128.00,12608.00,124.00,124.00,125.00,126.00,126.00,127.00,127.00,127.00,128.00,0.89
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),29.87,29.31,30.37,2987.33,29.38,29.42,29.60,29.81,29.87,30.02,30.10,30.17,30.33,0.21
HTTP Data Sent (KB),4.34,3.59,4.72,433.79,3.82,4.07,4.11,4.23,4.36,4.49,4.54,4.57,4.70,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1486.13,977.71,1527.53,148613.21,977.75,1496.97,1499.38,1500.78,1507.00,1507.76,1519.71,1526.82,1527.21,103.96
HTTP Receiving (ms),998.65,793.88,1347.88,99865.39,793.91,868.43,868.77,872.19,880.29,1112.32,1119.53,1333.10,1344.61,146.17
HTTP Sending (ms),0.46,0.36,0.69,46.40,0.37,0.39,0.40,0.41,0.45,0.48,0.57,0.64,0.68,0.07
HTTP Total Time (ms),1486.13,977.71,1527.53,148613.21,977.75,1496.97,1499.38,1500.78,1507.00,1507.76,1519.71,1526.82,1527.21,103.96
HTTP Waiting (TTFB) (ms),487.01,108.91,646.85,48701.41,153.76,170.42,365.08,391.23,406.80,634.51,635.99,646.04,646.73,156.43
Input Sequence Length (tokens),1024.00,1024.00,1024.00,102400.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),7.98,0.99,258.20,99864.41,3.12,4.85,6.26,6.68,6.90,7.11,7.41,8.99,12.57,15.81
Inter Token Latency (ms),7.90,6.25,10.79,789.67,6.25,6.84,6.86,6.87,7.01,8.77,8.98,10.50,10.61,1.17
OSL Mismatch Diff % (%),-0.40,-3.91,0.00,-39.84,-2.36,-2.34,-2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.87
Output Sequence Length (tokens),127.49,123.00,128.00,12749.00,124.98,125.00,125.00,128.00,128.00,128.00,128.00,128.00,128.00,1.11
Output Token Count (tokens),127.49,123.00,128.00,12749.00,124.98,125.00,125.00,128.00,128.00,128.00,128.00,128.00,128.00,1.11
Output Token Throughput Per User (tokens/sec/user),129.28,92.65,159.97,12928.14,94.21,95.27,111.41,114.05,142.55,145.58,145.85,146.22,159.97,18.08
Prefill Throughput Per User (tokens/sec/user),2493.24,1580.81,9353.51,249324.23,1581.69,1583.36,1608.44,1612.18,2511.76,2612.64,2944.35,5975.07,6638.72,1399.72
Request Latency (ms),1486.34,977.90,1527.80,148633.99,977.92,1497.20,1499.59,1500.99,1507.21,1507.95,1519.97,1527.04,1527.42,103.96
Time to First Output Token (ms),487.70,109.48,647.77,48769.58,154.43,171.38,365.76,391.94,407.68,635.16,636.64,646.73,647.41,156.44
Time to First Token (ms),487.70,109.48,647.77,48769.58,154.43,171.38,365.76,391.94,407.68,635.16,636.64,646.73,647.41,156.44
Time to Second Token (ms),121.10,1.27,258.20,12110.34,1.28,3.71,3.77,3.82,4.25,245.04,254.57,258.02,258.15,120.88
Tokens In Flight (tokens),15682.14,0.00,18402.61,,,,,,16474.02,,18013.92,18208.80,18355.89,3865.58

Metric,Value
Benchmark Duration (sec),10.06
Input Token Throughput (tokens/sec),10174.17
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1266.70
Request Count,100.00
Request Throughput (requests/sec),9.94
Total Input Sequence Length (tokens),102400.00
Total Output Sequence Length (tokens),12749.00
Total Output Tokens (tokens),12749.00
Total Token Throughput (tokens/sec),11440.87
