Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),464.20,0.00,6662.25,,,,,,578.47,,603.40,612.04,692.95,284.35
Active Decode Throughput Per User (tokens/sec/user),117.02,0.00,1665.56,,,,,,144.67,,150.95,153.20,173.81,70.24
Active Prefill Throughput (tokens/sec),24949.16,6210.51,45742.11,,,,,,21135.86,,42038.26,42377.20,45742.11,11333.16
Active Prefill Throughput Per User (tokens/sec/user),8077.51,6210.51,21062.03,,,,,,7047.24,,10560.07,10629.60,16409.02,2202.23
Active Total Throughput (tokens/sec),7297.73,147.01,45742.11,,,,,,545.60,,21638.67,41764.59,42510.49,12444.17
Credit-to-Start Latency (ms),3.91,2.58,13.82,391.03,2.67,3.44,3.54,3.58,3.64,3.76,3.93,4.19,9.81,1.37
Decode Duration (ms),1885.89,1729.08,2186.40,188589.11,1729.17,1730.67,1731.24,1733.67,1804.64,2062.84,2180.85,2182.01,2185.22,181.88
E2E Output Token Throughput (tokens/sec/user),107.37,104.47,108.75,10737.24,105.51,106.11,106.41,107.02,107.57,107.78,107.98,108.16,108.43,0.68
Effective Concurrency,3.99,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.16
Effective Decode Concurrency,3.16,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.41
Effective Decode Throughput (tokens/sec),426.25,0.00,6662.25,,,,,,575.35,,602.50,610.86,671.63,300.70
Effective Decode Throughput Per User (tokens/sec/user),107.46,0.00,1665.56,,,,,,143.89,,150.70,152.92,168.39,74.55
Effective Latency (CO-aware) (ms),2380.11,2364.41,2392.68,238011.23,2364.62,2369.69,2371.24,2378.24,2381.18,2383.57,2386.47,2387.30,2392.59,5.82
Effective Prefill Concurrency,0.82,0.00,4.00,,,,,,0.00,,3.00,4.00,4.00,1.39
Effective Prefill Throughput (tokens/sec),6870.26,0.00,45742.11,,,,,,0.00,,21522.23,41764.59,42510.49,12632.32
Effective Prefill Throughput Per User (tokens/sec/user),2224.31,0.00,21062.03,,,,,,0.00,,7174.08,10454.09,11388.37,3788.77
Effective Total Throughput (tokens/sec),7296.51,0.00,45742.11,,,,,,545.60,,21638.67,41764.59,42510.49,12443.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.03,251.00,256.00,25503.00,252.98,253.00,253.00,254.00,255.00,256.00,256.00,256.00,256.00,1.15
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),60.05,59.19,60.47,6005.45,59.53,59.58,59.63,59.94,60.13,60.25,60.33,60.35,60.42,0.25
HTTP Data Sent (KB),17.08,16.02,18.54,1707.65,16.09,16.27,16.42,16.82,17.10,17.37,17.69,17.79,18.02,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2376.00,2353.13,2389.83,237600.49,2360.38,2365.78,2367.22,2374.02,2377.28,2379.78,2382.60,2383.53,2389.80,6.13
